[SYS] 2025/04/22 - 06:45:48 | 任务进度轮询开始 
[SYS] 2025/04/22 - 06:45:48 | 任务进度轮询完成 
[SYS] 2025/04/22 - 06:45:48 | batch update started 
[SYS] 2025/04/22 - 06:45:48 | batch update finished 
[SYS] 2025/04/22 - 06:45:53 | batch update started 
[SYS] 2025/04/22 - 06:45:53 | batch update finished 
[SYS] 2025/04/22 - 06:45:58 | batch update started 
[SYS] 2025/04/22 - 06:45:58 | batch update finished 
[SYS] 2025/04/22 - 06:46:03 | 任务进度轮询开始 
[SYS] 2025/04/22 - 06:46:03 | 任务进度轮询完成 
[SYS] 2025/04/22 - 06:46:03 | batch update started 
[SYS] 2025/04/22 - 06:46:03 | batch update finished 
